patente_id,nro_registro,nro_expediente_db,nro_expediente_indecopi,tipo,titulo,ipc_codigo,fuente,fuente_url,estado_revision,notas
218,2689,002689-2019/DIN,002689-2019/DIN,Modelo de utilidad,SISTEMA EÓLICO-ELÉCTRICO CON REDIRECCIÓN DE VIENTO Y DE VELOCIDAD DE ROTACIÓN CONTROLADA INSTALADA EN TECHOS DE VEHÍCULOS TERRESTRE,,,,pendiente,
76,1122,,002788-2017/DIN,Modelo de utilidad,CELDA ELECTROQUÍMICA VERTICAL MULTIELECTRODO DE FLUJO PARA MEDICIONES ELECTROQUÍMICAS,,,,pendiente,
266,1685,597-2020,000597-2020/DIN,Modelo de utilidad,UN GUANTE CON MECANISMO DISPENSADOR DE ANTISEPTICO,,,,pendiente,
219,002112,000891-2020,000891-2020/DIN,Modelo de utilidad,MASCARILLA REUTILIZABLE CON FILTROS DESCARTABLES DE BAJO COSTO,,,,pendiente,
242,000591,000898-2020/DIN,000898-2020/DIN,Modelo de utilidad,TACHO DE BASURA COMPRESOR CON COMPARTIMIENTO PARA RECICLAJE,,,,pendiente,
243,590,894-2020,000894-2020/DIN,Modelo de utilidad,“CONDENSADOR MECÁNICO ELÉCTRICO DE NEBLINA,,,,pendiente,
244,303,895-2020,000895-2020/DIN,Modelo de utilidad,“RECOLECTOR DE ENERGÍA SONORA,,,,pendiente,
246,544-2022/DIN-INDECOPI,892-2020/DIN,000892-2020/DIN,Modelo de utilidad,COMPUERTA PARA TECHOS DE BUSES CON SISTEMA DE REFRIGERACIÓN A BASE DE CELDAS PELTIER,,,,pendiente,
478,13145,896-2020,000896-2020/DIN,Patente de invención,APARATO ASISTENTE PARA SUPERAR OBSTÁCULOS CON SILLAS DE RUEDAS,,,,pendiente,
128,002229 2018,,002229-2018/DIN,Patente de invención,NUEVO MÉTODO PARA PREPARAR EL COMPUESTO OXOTETRACLOROTETRAHIDROFURANO MOLIBDENO (V) DE TETRABUTIL AMONIO [Bu4N] Mo(V)OCl4.THF,,,,pendiente,
147,000621 2020,,002057-2016/DIN,Patente de invención,"OBTENCIÓN DE NANOPOLVOS DE COBRE OBTENIDOS POR REDUCCIÓN QUÍMICA SOBRE FASES HETEROGÉNEAS, APLICANDO RADIACIÓN MICROONDAS Y MECANOSÍNTESIS POR VÍA HÚMEDA A ESCALA PILOTO",,,,pendiente,
148,000865 2020,,002151-2015/DIN,Patente de invención,MÉTODO PARA LA PREPARACIÓN DE NANOCRISTALES DE COBRE (0) APLICANDO RADIACIÓN MICROONDAS EN UN SISTEMA BINARIO AGUA SOLVENTE POR INTERCAMBIO DE FASES,,,,pendiente,
307,1871,001913-2020/DIN,001913-2020/DIN,Modelo de utilidad,EQUIPO DE ELECTROHILADO DE INYECTORES MÚLTIPLES,,,,pendiente,
268,2057,2001-2020,002001-2020/DIN,Modelo de utilidad,MÓDULO RECEPTOR FM CON DECODIFICADOR RDS,,,,pendiente,
232,000062,002042-2020/DIN,002042-2020/DIN,Modelo de utilidad,MÁQUINA DESINFECTADORA DE DINERO,,,,pendiente,
253,726,2041-2020,002041-2020/DIN,Modelo de utilidad,PLATAFORMA PIEZOELÉCTRICA CONTADORA DE AFORO Y CONTROL DE TEMPERATURA CON ENERGÍA AUTOSUSTENTABLE,,,,pendiente,
231,2179-2021/DIN-INDECOPI,002208-2020/DIN,002208-2020/DIN,Modelo de utilidad,CONO DE SEÑALIZACIÓN INTELIGENTE CON SISTEMA DE ELEVACIÓN,,,,pendiente,
258,1810,2209-2020,002209-2020/DIN,Modelo de utilidad,PLATAFORMA HIDRÁULICA DE APOYO REGULABLE,,,,pendiente,
311,000576,002275-2020/DIN,002275-2020/DIN,Modelo de utilidad,EQUIPO MEDIDOR DE CALIDAD DE AIRE CON AUTO CALIBRACIÓN AL VACÍO,,,,pendiente,
342,0,EXPEDIENTE Nº 002271-2019/DIN,002271-2019/DIN,Modelo de utilidad,MÓDULO MULTIPRUEBAS DE COMPONENTES ELECTROMÉCANICOS Y ELECTRÓNICOS PARA VEHÍCULOS MENORES,,,,pendiente,
334,398,001247-2021/DIN,001247-2021/DIN,Modelo de utilidad,HERRAMIENTA PERSONAL DE EXCAVACIÓN Y TRANSPORTE DE DETRITOS,,,,pendiente,
335,354,1246-2021,001246-2021/DIN,Modelo de utilidad,BROCHA PARA PINTURA CON PREVENCIÓN DE GOTEOS,,,,pendiente,
309,361,1552-2021,001552-2021/DIN,Modelo de utilidad,JARDIN HIDROPÓNICO PIRAMIDAL CON ROTACIÓN,,,,pendiente,
312,839,1553-2021,001553-2021/DIN,Modelo de utilidad,SECCIONADOR DE MESAS PARA RESTAURANTES,,,,pendiente,
318,000915,001687-2021/DIN,001687-2021/DIN,Modelo de utilidad,CARRO PORTA GARRAFÓN DE AGUA CON SISTEMA DE ELEVACIÓN,,,,pendiente,
322,2033,2029-2021,002029-2021/DIN,Modelo de utilidad,APARATO DE PROTECCIÓN ODONTOLÓGICO CON UN BRAZO FLEXIBLE COMO SOPORTE DE UN ASPIRADOR DE SECRECIONES,,,,pendiente,
336,1342,2097-2021/DIN,002097-2021/DIN,Modelo de utilidad,SOPORTE PARA LA ESTIMULACIÓN DE ESCRITURA,,,,pendiente,
337,1341,002096-2021/DIN,002096-2021/DIN,Modelo de utilidad,MOTA PARA TIZA MULTIFUNCIONAL CON RECOLECTOR DE POLVILLO,,,,pendiente,
428,2213-2023,67-2022,000067-2022/DIN,Modelo de utilidad,Equipo de tratamiento de residuos sólidos,,,,pendiente,
429,2092-2023,66-2022,000066-2022/DIN,Modelo de utilidad,PANEL PUBLICITARIO AUTOSUSTENTABLE,,,,pendiente,
430,3215-2023,68-2022,000068-2022/DIN,Modelo de utilidad,Aspersor de limpieza para buses,,,,pendiente,
319,001472,000354-2022/DIN,000354-2022/DIN,Modelo de utilidad,INSTRUMENTO DE ESCRITURA EN BRAILLE CON TRADUCTOR A VOZ,,,,pendiente,
339,23,000351-2022/DIN,000351-2022/DIN,Modelo de utilidad,ESCRITORIO INTELIGENTE PLEGABLE CON RECONOCIMIENTO BIOMÉTRICO,,,,pendiente,
359,2187,000391-2022,000391-2022/DIN,Modelo de utilidad,FERMENTADOR DE CAFÉ EN UNA ETAPA CON AGITADOR HELICOIDAL,,,,pendiente,
432,2691-2023,488-2022,000488-2022/DIN,Modelo de utilidad,"SISTEMA DE CULTIVO, ARADO E IRRIGACIÓN DE INVERNADEROS SUBTERRÁNEOS",,,,pendiente,
433,3073-2023,486-2022,000486-2022/DIN,Modelo de utilidad,CAPA GEOTÉRMICA DE INVERNADERO,,,,pendiente,
434,2692-2023,494-2022,000494-2022/DIN,Modelo de utilidad,TECLADO INALÁMBRICO DE AUTO CARGA PIEZOELÉCTRICA,,,,pendiente,
439,1078-2024,485-2022/DIN,000485-2022/DIN,Modelo de utilidad,ROMPE MUELLE GENERADOR PIEZOELÉCTRICO,,,,pendiente,
405,1,000520-2022/DIN,000520-2022/DIN,Modelo de utilidad,ESTACIÓN DE TRABAJO REMOTO PARA PADRES,,,,pendiente,
406,1,000611-2022/DIN,000611-2022/DIN,Modelo de utilidad,EQUIPO AUXILIAR PARA EL LAVADO ÓTICO,,,,pendiente,
